,australia,austria,belgium,brazil,canada,chile,china,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa
norway,178073778.0,178620152.0,767941194.0,1115880743.0,2211136106.0,96038933.0,842747637.0,197258736.0,2432075660.0,183787751.0,920368167.0,713139763.0,2340717543.0,29056153.0,48383999.0,142056439.0,147313726.0,235564737.0,41441975.0,803529393.0,188997594.0,139065905.0,171276552.0,47466276.0,16068770.0,1347497470.0,38802203.0,0.0,848444563.0,77531239.0,86956459.0,78201122.0,15135295.0,522566289.0,5597490385.0,175594281.0,107063446.0,1651242544.0,681673640.0
poland,95326733.0,1378120085.0,1718737699.0,374032194.0,152926788.0,238471498.0,2982494501.0,3592446653.0,1297047871.0,109922519.0,1833903800.0,2485901694.0,17200116549.0,211190268.0,1104714442.0,71019516.0,426402458.0,125899375.0,109976063.0,3759975015.0,331317758.0,209736683.0,595651011.0,225699726.0,42308225.0,2362595669.0,21280273.0,1772784084.0,0.0,192349212.0,509062704.0,2344313634.0,211575529.0,1756672813.0,2002143253.0,317582474.0,864791554.0,1507409079.0,1297634532.0
portugal,9578582.0,185593274.0,724186115.0,1732714086.0,187319394.0,52867035.0,633166595.0,78666604.0,267035366.0,13286275.0,107139030.0,2052279343.0,2248702816.0,92715887.0,25821121.0,40705045.0,371081661.0,193891215.0,15789143.0,1704807698.0,206702714.0,2892639.0,8825886.0,47469219.0,96442886.0,1345635769.0,27390237.0,985278728.0,80992498.0,0.0,129610013.0,21687823.0,14682225.0,14472104377.0,375288578.0,86480080.0,262724975.0,1179511580.0,640835636.0
rep. of korea,16919914969.0,289706911.0,338351408.0,4126662189.0,3200318565.0,3966336267.0,33310262074.0,71164833.0,138769788.0,22749727.0,229146051.0,1112080662.0,1600622327.0,20704548.0,66303887.0,19459913.0,5672265361.0,53779227.0,107556148.0,942343592.0,18932555290.0,18913846.0,6679051.0,42275677.0,513537036.0,717707442.0,973358619.0,590145176.0,89533037.0,16006557.0,0.0,3281984.0,10727408.0,480839488.0,381289391.0,229337448.0,216501480.0,1078863283.0,13745228993.0
slovakia,15213042.0,1217829605.0,341173535.0,129581230.0,43978573.0,9043717.0,441664750.0,3935691483.0,58145149.0,24683377.0,79574417.0,662164684.0,3177553775.0,74800890.0,1027185883.0,5964909.0,45415334.0,2517576.0,11195704.0,1053606483.0,43993381.0,25361082.0,21033377.0,64928099.0,3854016.0,271227224.0,400580.0,77729263.0,1601014068.0,29495407.0,216798368.0,0.0,78763779.0,251929021.0,128488056.0,101890196.0,145047883.0,184324834.0,216817963.0
slovenia,8927484.0,1663581824.0,183898928.0,119455893.0,90524602.0,41769125.0,228485392.0,336071418.0,25566188.0,3420707.0,47729524.0,406765922.0,1918923734.0,348202423.0,580974809.0,1958501.0,41487261.0,9033230.0,22901235.0,3054298745.0,25205221.0,3355137.0,3548833.0,42088791.0,15954357.0,280536033.0,7955523.0,15736692.0,258214232.0,11748307.0,63052246.0,234528949.0,0.0,307956064.0,104467535.0,79416861.0,77422589.0,126092774.0,372494898.0
spain,1008167525.0,923576743.0,3244343290.0,3915263648.0,1412772652.0,1756142045.0,6083180152.0,451784238.0,917357219.0,46272328.0,1507965865.0,14980452964.0,10628103753.0,405668567.0,291611652.0,201497258.0,1358564891.0,1168611048.0,266151039.0,12893378051.0,439312447.0,393567469.0,524826836.0,339256359.0,3885776653.0,4774553625.0,182444905.0,2412664098.0,927024292.0,6910812881.0,753574766.0,187145856.0,99312819.0,0.0,1458654208.0,467768497.0,1852700909.0,5732964368.0,5355771072.0
sweden,408430181.0,596805988.0,1706853572.0,462370753.0,106085185.0,421085966.0,1149726999.0,327980472.0,8937470725.0,402882806.0,5535883010.0,2034509983.0,6743215477.0,132494716.0,143060189.0,30310427.0,286640262.0,470915040.0,41217820.0,1488602550.0,304386503.0,718990783.0,575859160.0,215807400.0,51914767.0,3128335569.0,40958110.0,10395502213.0,1789968125.0,294903440.0,171783409.0,111496469.0,56822948.0,945386904.0,0.0,260168846.0,241613606.0,3641723418.0,876952401.0
switzerland,65565540.0,2811215778.0,2537025819.0,612650500.0,188079319.0,49581985.0,582909368.0,330575168.0,257995692.0,11299034.0,336364653.0,5984772054.0,18918490744.0,77161226.0,189152849.0,35533342.0,341746423.0,116166093.0,449402585.0,5855801945.0,1197611720.0,7977567.0,9400403.0,130844663.0,37281924.0,3051610502.0,78766977.0,163460017.0,355814773.0,184311190.0,98526439.0,106590277.0,92548869.0,785917109.0,474656392.0,0.0,278475640.0,1202730974.0,1812918785.0
turkey,704276196.0,546606872.0,1234813839.0,871103350.0,1157419185.0,311962510.0,4070905561.0,247657885.0,366597189.0,254239174.0,565498299.0,2438393101.0,3451088256.0,802123274.0,188941716.0,1910760.0,1194796315.0,52468947.0,515282472.0,3409823377.0,457334022.0,21786124.0,185631841.0,72869943.0,37671588.0,1257637845.0,30150619.0,431192190.0,324535361.0,141067721.0,1108991400.0,376866701.0,80858408.0,1306262440.0,717200402.0,256142256.0,0.0,1527113740.0,6618950301.0
united kingdom,2281505119.0,1177735125.0,9222111512.0,3705804710.0,5708445386.0,655243707.0,9334109580.0,973455857.0,4204162497.0,164750082.0,2705049334.0,13893718420.0,17618460356.0,588245797.0,605059557.0,692875812.0,3359328657.0,7306732240.0,859754832.0,7517809443.0,1683998024.0,685684720.0,270524460.0,430377377.0,449302459.0,18303670118.0,861754756.0,38951376004.0,2558081533.0,1334489757.0,2028449701.0,343285930.0,154509244.0,6226627200.0,7462673652.0,1482517795.0,2212226630.0,0.0,10211034512.0
usa,5472699673.0,1656862740.0,8134700735.0,20834539704.0,190714075286.0,7696743876.0,56964579710.0,683641099.0,855649243.0,272800877.0,3087927010.0,7736167917.0,13518815511.0,819683149.0,220142228.0,130439719.0,12398591545.0,476328219.0,10990994363.0,9321833288.0,11332001975.0,108651741.0,522044314.0,355539429.0,69894127110.0,8220174895.0,2107771228.0,4960698567.0,661224102.0,1227954746.0,9784227301.0,78111894.0,121033287.0,4676253680.0,2852470139.0,1606401617.0,2978714466.0,14189328466.0,0.0
